Frame Rate:,23.9760239760
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
266,00:00:11.094,2.0304854740061162,2.257203268348624,0.8089162844036697,3.025336869266055
267,00:00:11.136,2.3890481651376145,3.192588876146789,0.5324684633027523,3.4420871559633026
268,00:00:11.178,2.6530366016819573,3.466169724770642,0.5951476490825688,3.8977924311926606
269,00:00:11.220,4.133923451834863,4.514514048165138,2.0533973623853212,5.8338589449541285
270,00:00:11.261,2.7393324732415905,3.1142488532110093,0.7244839449541285,4.379264621559633
271,00:00:11.303,2.6866279625382266,3.2286052178899083,0.6117044151376146,4.219574254587156
272,00:00:11.345,5.563503440366972,6.500035837155964,1.0784475344036697,9.112026949541285
273,00:00:11.386,4.350200688073394,4.655174885321101,1.064399369266055,7.331027809633028
274,00:00:11.428,3.4226753631498474,3.841814793577982,1.015625,5.41058629587156
275,00:00:11.470,2.6939865252293576,3.227709288990826,0.7259891055045872,4.12826118119266
276,00:00:11.511,5.016222285932721,5.790782683486238,1.255554759174312,8.002329415137615
277,00:00:11.553,5.0757000191131505,5.670584862385321,2.0777307912844036,7.478784403669724
278,00:00:11.595,3.8596855886850157,4.8360091743119265,0.7434776376146789,5.99956995412844
279,00:00:11.637,4.054651662844036,4.622742259174312,1.058844610091743,6.482368119266055
280,00:00:11.678,5.338541666666667,7.047950114678899,0.861740252293578,8.105934633027523
281,00:00:11.720,2.7591265290519877,3.3560063073394497,0.560600630733945,4.360772649082569
282,00:00:11.762,5.148771980122325,6.3438216743119265,0.8382310779816514,8.264263188073395
283,00:00:11.803,3.9511897935779814,4.662198967889908,0.5567660550458715,6.634604357798165
284,00:00:11.845,6.576357033639144,8.03038990825688,0.9364248853211009,10.762256307339449
285,00:00:11.887,5.100594896788991,6.08256880733945,0.9377508600917431,8.28146502293578
286,00:00:11.929,5.720888283639144,6.433092029816514,1.7969466743119267,8.93262614678899
287,00:00:11.970,4.335196865443425,5.407217603211009,0.5813503440366973,7.017022649082569
288,00:00:12.012,4.594012805810397,5.659869552752293,0.9852709288990825,7.136897935779817
289,00:00:12.054,4.306228497706422,5.125931766055046,0.9985306766055045,6.794223050458716
290,00:00:12.095,3.5786147744648322,4.409009461009174,0.9002293577981652,5.426605504587156
291,00:00:12.137,3.524954606269113,4.300387041284404,0.7117975917431193,5.562679185779817
292,00:00:12.179,3.703865634556575,4.48111381880734,0.8793004587155964,5.751182626146789
293,00:00:12.221,2.5935110856269112,3.213911983944954,0.5268778669724771,4.039743405963303
294,00:00:12.262,4.321447343272172,5.048272649082569,1.74620126146789,6.169868119266055
295,00:00:12.304,3.2846186926605507,4.156930905963303,0.6175100344036697,5.079415137614679
296,00:00:12.346,2.8669246941896027,3.7417932912844036,0.5609948394495413,4.297985951834862
297,00:00:12.387,2.5454056766055047,3.0173451834862384,0.6335650802752294,3.985306766055046
298,00:00:12.429,3.573478115443425,4.472190366972477,0.7272434059633027,5.521000573394495
299,00:00:12.471,3.160311544342507,3.9859518348623855,0.4701118119266055,5.024870986238532
300,00:00:12.512,2.244421349388379,2.5671588302752295,0.4920083142201835,3.674096903669725
301,00:00:12.554,3.254491590214067,3.6373996559633026,0.7838302752293578,5.342244839449541
